file,label,n_points,geo_class,method,rec_status,n_vertices,n_faces,cloud_to_mesh_mean,cloud_to_mesh_max,cloud_to_mesh_rmse,cloud_to_mesh_median,mesh_to_cloud_mean,mesh_to_cloud_rmse,hausdorff_approx,surface_area,n_mesh_components,largest_comp_ratio
valve_0395_lidar_classes.ply,1,165,complex,poisson,ok,2939,5634,0.6732454393231737,3.873417497639277,0.8749769179568567,0.604499060322671,3.0909056487084925,3.789703513723594,10.776710612729643,3992.5451930385643,11,0.982250621228257
valve_0395_lidar_classes.ply,2,73,complex,poisson,ok,2013,3812,0.3984616409061616,1.5426460544295877,0.45118135754612043,0.3766766239996043,1.65296544245923,1.8206366946873194,3.9598583721409137,925.8789975316209,18,0.9493704092339978
valve_0395_lidar_classes.ply,3,619,tubular,ball_pivoting,ok,518,817,0.7225883264018584,5.648089850241277,1.8157262440867992,0.0,0.0,0.0,5.648089850241277,5699.517251934788,11,0.9436964504283966
valve_0395_lidar_classes.ply,4,93,complex,poisson,ok,2810,5355,0.5583368815508772,3.7266050356955813,0.7137997922227171,0.5323597700145672,5.5203578994118505,6.792993061473259,17.65079221878648,4076.1417957458325,3,0.9970121381886088
valve_0395_lidar_classes.ply,5,1160,complex,poisson,ok,3155,6109,1.0577494486081451,5.60034922780024,1.1661802026971682,1.069839248220288,2.494620322083195,3.406581218059869,12.21301107424501,16819.889904209387,1,1.0
valve_0395_lidar_classes.ply,6,472,complex,poisson,ok,3090,5901,0.7976074371352454,3.912003891897162,0.8933638775518257,0.7875849542952275,3.7124125301407984,4.886371504991174,13.984617044402867,8818.715165255366,1,1.0
valve_0395_lidar_classes.ply,7,387,complex,poisson,ok,2817,5339,0.7903656736260449,2.4868902328467306,0.8724659372929662,0.7636841216743178,3.2293331678349073,4.150498827412858,13.190450519192064,7420.967976555224,4,0.9955047761753137
valve_0395_lidar_classes.ply,8,683,complex,poisson,ok,2932,5617,1.0270625412226606,4.241275864008704,1.138751287251671,1.0280813877016912,3.4781399630996526,4.641440787874803,13.528045038543105,13114.12330753835,1,1.0
valve_0395_lidar_classes.ply,9,2831,spherical,ball_pivoting,ok,2803,5455,0.035461933143009154,5.126085257335976,0.3625589516309168,0.0,0.0,0.0,5.126085257335976,34256.20205544398,1,1.0
valve_0396_lidar_classes.ply,0,572,planar,poisson,ok,1217,2343,1.516758138886566,8.962322869368059,1.8937566855357364,1.3141043538908512,1.7397647556496754,2.027022050721646,8.962322869368059,7034.326041823948,1,1.0
valve_0396_lidar_classes.ply,1,136,complex,poisson,ok,2803,5326,0.6224871465234925,3.7475845770567973,0.7714244320317389,0.5876666358783946,3.4779638286704597,4.253865154398032,12.39963424441845,3769.3472639706742,18,0.972962823882839
