n_points,density_mean_nn,density_std_nn,density_cv,density_level,pca_ev,pca_ev1,pca_ev2,pca_ev3,pca_linearity,pca_planarity,pca_sphericity,shape_type,curvature_mean,curvature_std,curvature_max,curvature_p90,surface_type,normal_consistency_mean,normal_consistency_std,normal_quality,n_components,n_noise_pts,noise_ratio,topology,label,geo_class,method,file
3261,3.644958542493245,1.1721091032912125,0.3215699408662931,medium,"[0.39037181517120983, 0.3660782074950081, 0.24354997733378206]",0.39037181517120983,0.3660782074950081,0.24354997733378206,0.06223197134074615,0.3138757079417009,0.6238923181558925,spherical,0.0062873410286419735,0.010902764279000854,0.059824754829948784,0.02475336627255377,smooth,0.9944920457067735,0.007249178954805155,high,1,2,0.0006133088009812941,connected,9,spherical,ball_pivoting,valve_0038_lidar_classes.ply
834,3.7931625143090955,1.259337952053084,0.33200210825938303,medium,"[0.8989247284881312, 0.09031372043663782, 0.010761551075230887]",0.8989247284881312,0.09031372043663782,0.010761551075230887,0.8995313862506992,0.08849703067653485,0.01197158196032583,linear,0.07163726379485096,0.0786374475969488,0.312351051958031,0.2143768230291048,highly_curved,0.895733166057694,0.1437406741962497,high,1,0,0.0,connected,0,tubular,ball_pivoting,valve_0039_lidar_classes.ply
158,5.093642111334747,1.5213032986970747,0.2986670961850837,low,"[0.668044433156071, 0.2565187499043812, 0.07543681693954771]",0.668044433156071,0.2565187499043812,0.07543681693954771,0.6160154358168751,0.2710627073685468,0.11292185531767171,complex,0.07747075454052635,0.04612884348650327,0.24025024345126691,0.13724077863376047,highly_curved,0.900220622119272,0.12256311299650867,high,1,0,0.0,connected,1,complex,poisson,valve_0039_lidar_classes.ply
77,4.437817683091742,1.2795443135365434,0.2883273727362279,low,"[0.4854849521775897, 0.3948161086864084, 0.11969893913600192]",0.4854849521775897,0.3948161086864084,0.11969893913600192,0.18675932775616794,0.566685265423188,0.2465554047608479,complex,0.048271642195155,0.01583573772650812,0.09538420011900565,0.06842608660592445,slightly_curved,0.9571240456465054,0.020611797196773078,high,1,0,0.0,connected,2,complex,poisson,valve_0039_lidar_classes.ply
520,4.4490684835937335,1.2958588360378964,0.2912652031599886,low,"[0.9099000819106651, 0.052789581386699785, 0.0373103367026352]",0.9099000819106651,0.052789581386699785,0.0373103367026352,0.9419830997071327,0.0170120268970064,0.041004872296839176,linear,0.09482604849832091,0.05972811763720822,0.2260700515531598,0.17917744965355006,highly_curved,0.9716206867649935,0.05019553591863588,high,1,0,0.0,connected,3,tubular,ball_pivoting,valve_0039_lidar_classes.ply
758,4.2077526321399175,1.2396450438325672,0.29460977198831123,low,"[0.5172276929992146, 0.37399686382280645, 0.10877544317797902]",0.5172276929992146,0.37399686382280645,0.10877544317797902,0.27692026323831304,0.5127749803846161,0.2103047544436865,complex,0.007152759805549968,0.007355347224949387,0.0512800051021179,0.017450740295094892,smooth,0.9920760449220789,0.0075225535116294154,high,1,0,0.0,connected,5,complex,poisson,valve_0039_lidar_classes.ply
298,5.062128147134409,1.8242520602448913,0.360372556138706,low,"[0.5354157436507329, 0.33950070300057084, 0.12508355334869628]",0.5354157436507329,0.33950070300057084,0.12508355334869628,0.3659119900890533,0.40046851777163384,0.23361949027160547,complex,0.006941586520202295,0.006351377713165194,0.03338692253140029,0.018019705626445687,smooth,0.9909960714340913,0.010045906517580947,high,1,0,0.0,connected,6,complex,poisson,valve_0039_lidar_classes.ply
480,4.4816242365340475,1.3545692703207568,0.30224963060849785,low,"[0.5789126404221152, 0.32372782007517437, 0.0973595395027104]",0.5789126404221152,0.32372782007517437,0.0973595395027104,0.4408002211181158,0.3910232120970513,0.1681765650574566,complex,0.038871871289832174,0.03633190230158156,0.11412868067413912,0.09545719260664594,slightly_curved,0.9917045122794496,0.006521427765185219,high,1,0,0.0,connected,7,complex,poisson,valve_0039_lidar_classes.ply
610,4.653309154868714,1.514608092638383,0.32549053628387703,low,"[0.5065075938543768, 0.3891373723290539, 0.10435503381656934]",0.5065075938543768,0.3891373723290539,0.10435503381656934,0.23172450466229913,0.5622469266119509,0.206028566751446,complex,0.0059481601890249555,0.006335188945424322,0.03911994549030281,0.014296043218504844,smooth,0.9931966601858422,0.005305576458968282,high,1,0,0.0,connected,8,complex,poisson,valve_0039_lidar_classes.ply
3377,4.244208995092186,1.2144336270047078,0.28613897857595744,low,"[0.39958472911321, 0.3456726919499, 0.25474257893689]",0.39958472911321,0.3456726919499,0.25474257893689,0.134920163610946,0.22756153116073222,0.6375183027257236,spherical,0.006206069212815095,0.009932287304910437,0.05631393901159856,0.021351457952013354,smooth,0.9945955900445711,0.006255530556140522,high,1,0,0.0,connected,9,spherical,ball_pivoting,valve_0039_lidar_classes.ply
746,3.9761361308991856,1.1685380056080517,0.29388782648392475,medium,"[0.8927456535688276, 0.09486530297032414, 0.012389043460848372]",0.8927456535688276,0.09486530297032414,0.012389043460848372,0.8937375908974415,0.09238494647090677,0.013877461511511867,linear,0.06802322753524126,0.06771925301883597,0.27196177717157893,0.17274962912288588,highly_curved,0.891187469318269,0.14236632814355724,high,1,0,0.0,connected,0,tubular,ball_pivoting,valve_0040_lidar_classes.ply
153,5.136719033534651,1.5690077026767149,0.30544939135820487,low,"[0.5896011420614001, 0.32737813907492996, 0.08302071886366987]",0.5896011420614001,0.32737813907492996,0.08302071886366987,0.44474642912821266,0.4144452959206918,0.14080827325503373,complex,0.07805516423326067,0.0480578257343894,0.22864718537325723,0.14253810700845168,highly_curved,0.8864611097683458,0.12486072562714481,high,1,0,0.0,connected,1,complex,poisson,valve_0040_lidar_classes.ply
77,4.421626963897052,1.272016776085284,0.2876807080705191,low,"[0.4858747326447945, 0.37194038904114546, 0.14218487831405996]",0.4858747326447945,0.37194038904114546,0.14218487831405996,0.23449324633320479,0.47286984652108177,0.29263690508756973,complex,0.05523964511789165,0.01852248213078014,0.0985546381546297,0.08371497133966792,slightly_curved,0.9544945523451284,0.02493626274047778,high,1,0,0.0,connected,2,complex,poisson,valve_0040_lidar_classes.ply
657,4.290271776216156,1.1387559591439886,0.26542746433721204,low,"[0.9011288636962115, 0.05514137880969991, 0.04372975749408865]",0.9011288636962115,0.05514137880969991,0.04372975749408865,0.9388085522837079,0.012663695241255359,0.048527751365317576,linear,0.14874834188075903,0.05493706171093104,0.26569481280623963,0.20801029289113993,highly_curved,0.9319420358079339,0.07771597729303886,high,1,0,0.0,connected,3,tubular,ball_pivoting,valve_0040_lidar_classes.ply
86,5.468395714856684,1.8839110233522478,0.3445089055807499,low,"[0.5108921969798172, 0.42149323230939406, 0.0676145707107886]",0.5108921969798172,0.42149323230939406,0.0676145707107886,0.1749859657750242,0.6926679698729427,0.13234606239467314,complex,0.020041205818491562,0.012837746474376499,0.0683366413884155,0.036422491923184946,slightly_curved,0.9638271907748718,0.026196148088384698,high,1,0,0.0,connected,4,complex,poisson,valve_0040_lidar_classes.ply
1041,4.095356758662013,1.18887985629284,0.29029946011124985,low,"[0.4983087910964881, 0.3520746818888169, 0.1496165270146948]",0.4983087910964881,0.3520746818888169,0.1496165270146948,0.2934608249483901,0.40629055333809944,0.3002486197067227,complex,0.0059906741673031675,0.008697275833814208,0.05268247633681715,0.019538629982557534,smooth,0.9947156324375297,0.0044595335103312225,high,1,0,0.0,connected,5,complex,poisson,valve_0040_lidar_classes.ply
657,3.702538029420712,0.9707783977707971,0.2621926877711205,medium,"[0.5398574170736806, 0.3659914630395031, 0.09415111988681638]",0.5398574170736806,0.3659914630395031,0.09415111988681638,0.3220590256119219,0.5035409981447833,0.17439997439095387,complex,0.04786724995963337,0.04465666144063001,0.1358962248133325,0.11140308258738706,slightly_curved,0.9930154395421252,0.004265959205448399,high,1,0,0.0,connected,6,complex,poisson,valve_0040_lidar_classes.ply
401,4.468772312068022,1.5577922022208863,0.3485951158588764,low,"[0.6107444587567519, 0.2969424928891226, 0.09231304835412546]",0.6107444587567519,0.2969424928891226,0.09231304835412546,0.5138023945278369,0.3350492030930534,0.15114840074176364,complex,0.029716876105760917,0.031531942641092936,0.10783636917805474,0.08587679711098506,slightly_curved,0.9920642776341859,0.008037072955578343,high,1,0,0.0,connected,7,complex,poisson,valve_0040_lidar_classes.ply
697,4.561211001347967,1.7355052644278952,0.3804922121635048,low,"[0.538362793561032, 0.32281407823969854, 0.13882312819926954]",0.538362793561032,0.32281407823969854,0.13882312819926954,0.4003781789881797,0.34176015114575437,0.2578616680085825,complex,0.00509259062723041,0.00695985322361211,0.047665473546113724,0.014791742522932475,smooth,0.9929826550723866,0.0076319307820567435,high,1,0,0.0,connected,8,complex,poisson,valve_0040_lidar_classes.ply
2667,4.275209754568032,1.3620226865536793,0.31858616639330534,low,"[0.3929389697301586, 0.3528344594799851, 0.2542265707898564]",0.3929389697301586,0.3528344594799851,0.2542265707898564,0.10206294930648234,0.2509496284038604,0.6469874197447327,spherical,0.005055992936081394,0.008076809890124166,0.05044255731699731,0.017404925860927175,smooth,0.9954033747107391,0.0040080659612070696,high,1,0,0.0,connected,9,spherical,ball_pivoting,valve_0040_lidar_classes.ply
858,3.4831193330165946,1.3487157798153218,0.3872149215915713,medium,"[0.8946476825078065, 0.09450055887176041, 0.010851758620433177]",0.8946476825078065,0.09450055887176041,0.010851758620433177,0.8943712015200944,0.09349915256400185,0.012129644798145265,linear,0.06160403854284801,0.07621169682253127,0.30635602118830163,0.1871951789137119,highly_curved,0.9166302955934198,0.15270822443792745,high,1,0,0.0,connected,0,tubular,ball_pivoting,valve_0041_lidar_classes.ply
127,5.36035077872107,2.0456213711076034,0.3816208034083263,low,"[0.5360624584341068, 0.3564512408632641, 0.10748630070262913]",0.5360624584341068,0.3564512408632641,0.10748630070262913,0.33505651143795623,0.4644327088739888,0.20051077782260077,complex,0.07240426959956464,0.0409399441717556,0.2506189025748869,0.12142492922290161,highly_curved,0.8981976430916375,0.11103817404335045,high,1,0,0.0,connected,1,complex,poisson,valve_0041_lidar_classes.ply
71,4.499324788037614,1.6107582753479552,0.3580000001939156,low,"[0.4749875671535885, 0.39654865158244057, 0.12846378126397096]",0.4749875671535885,0.39654865158244057,0.12846378126397096,0.16513888116285283,0.5644039724251976,0.2704571443066313,complex,0.05230910044829925,0.019301525051132185,0.09116173046476736,0.07689329862046514,slightly_curved,0.9605201463978892,0.03563676428603979,high,1,0,0.0,connected,2,complex,poisson,valve_0041_lidar_classes.ply
466,4.256174973765015,1.1650048131468143,0.2737210805604003,low,"[0.9058823231314965, 0.054649435048099444, 0.03946824182040403]",0.9058823231314965,0.054649435048099444,0.03946824182040403,0.939672698547801,0.016758460589514423,0.04356883975878845,linear,0.04168884351750206,0.03649420158302881,0.15112594644044647,0.09790063731272672,slightly_curved,0.9880761212208602,0.015792457889861552,high,1,0,0.0,connected,3,tubular,ball_pivoting,valve_0041_lidar_classes.ply
999,4.055121114996145,1.1908795706586996,0.29367299683382175,low,"[0.5057737672896573, 0.38007993654946814, 0.11414629616087464]",0.5057737672896573,0.38007993654946814,0.11414629616087464,0.24851789203153005,0.5257956364322418,0.2256864695590597,complex,0.004422888538053023,0.006862365570216643,0.041825926885030784,0.013490995301450641,smooth,0.9952338078984652,0.005643330813155245,high,1,0,0.0,connected,5,complex,poisson,valve_0041_lidar_classes.ply
338,4.56186486987753,1.7104610877759818,0.37494777600612134,low,"[0.6345250511702633, 0.28285599854676385, 0.08261895028297278]",0.6345250511702633,0.28285599854676385,0.08261895028297278,0.5542240632118264,0.3155699646198699,0.13020597059232186,complex,0.005185252371110344,0.006161889546334352,0.03388581226524957,0.01318178278584603,smooth,0.993388039450157,0.009742749847875952,high,1,0,0.0,connected,6,complex,poisson,valve_0041_lidar_classes.ply
516,4.316441804151745,1.2917998127982648,0.2992742335264384,low,"[0.5828640844917047, 0.3193504550811994, 0.09778546042709584]",0.5828640844917047,0.3193504550811994,0.09778546042709584,0.4521013319738253,0.38013149234815374,0.1677671739623551,complex,0.03462758191617961,0.03796254655839465,0.12479192463964203,0.09799450739397726,slightly_curved,0.992251747293391,0.005217954817025982,high,1,0,0.0,connected,7,complex,poisson,valve_0041_lidar_classes.ply
851,4.282325077319317,1.4260278561330375,0.3330031770247368,low,"[0.5436174122389537, 0.3379737229586342, 0.1184088648024122]",0.5436174122389537,0.3379737229586342,0.1184088648024122,0.37828753140018767,0.4038959253494509,0.2178165414108325,complex,0.006692248490188469,0.008634606762472822,0.05251711960567797,0.01921963337085029,smooth,0.9934281541533917,0.006248008519691401,high,1,0,0.0,connected,8,complex,poisson,valve_0041_lidar_classes.ply
3144,4.057360352692299,1.2750884396418554,0.31426551464217195,low,"[0.36598514738817367, 0.3559304238308132, 0.27808442878101314]",0.36598514738817367,0.3559304238308132,0.27808442878101314,0.027473037093560332,0.21270260662936655,0.7598243535447218,spherical,0.005814143623032995,0.009158395038970986,0.046075643907193445,0.021022607756464324,smooth,0.9951234153350967,0.004789630528228834,high,1,1,0.0003180661577608143,connected,9,spherical,ball_pivoting,valve_0041_lidar_classes.ply
571,4.411809593888924,1.5513154425883389,0.35162792256164815,low,"[0.8544393954563698, 0.12977687596231577, 0.015783728581314386]",0.8544393954563698,0.12977687596231577,0.015783728581314386,0.8481145912740664,0.13341279422948776,0.018472613326087836,linear,0.07831098135237509,0.06811371072948742,0.28158729418588824,0.18200508848382574,highly_curved,0.9093019157388628,0.10817509134949241,high,1,0,0.0,connected,0,tubular,ball_pivoting,valve_0042_lidar_classes.ply
147,5.0416247294615575,1.7669252534147941,0.35046742823578486,low,"[0.6226661388008747, 0.281777373815991, 0.09555648738313428]",0.6226661388008747,0.281777373815991,0.09555648738313428,0.5474663598921536,0.29907019914782773,0.15346343935402162,complex,0.0833071358652623,0.05132579622936391,0.2491953286193091,0.16065429801376,highly_curved,0.8988809561763208,0.11839904692452359,high,1,0,0.0,connected,1,complex,poisson,valve_0042_lidar_classes.ply
75,4.50085462555864,1.27435623966963,0.2831365030432019,low,"[0.44934286518438443, 0.4332988321180418, 0.11735830269757372]",0.44934286518438443,0.4332988321180418,0.11735830269757372,0.0357055475311787,0.703116825027827,0.26117762521552224,complex,0.07284576407829801,0.03934477958043639,0.17747907942647706,0.1342357716329915,highly_curved,0.9221134763845773,0.10871602996416803,high,1,0,0.0,connected,2,complex,poisson,valve_0042_lidar_classes.ply
612,4.354230573653238,1.2532958061002477,0.28783404659273415,low,"[0.9137367995734953, 0.0496894127096201, 0.03657378771688456]",0.9137367995734953,0.0496894127096201,0.03657378771688456,0.9456195551296247,0.014353832508993492,0.04002661126697479,linear,0.11671580416238328,0.05404852000274168,0.26851793242758754,0.18592536294716444,highly_curved,0.9543443402350553,0.07524275872646456,high,1,0,0.0,connected,3,tubular,ball_pivoting,valve_0042_lidar_classes.ply
112,4.924648057483991,1.894547431903282,0.3847071728586634,low,"[0.49102082620322957, 0.42133278023203613, 0.0876463935647344]",0.49102082620322957,0.42133278023203613,0.0876463935647344,0.14192482703457732,0.6795768492508192,0.17849832167802987,complex,0.021603304716593236,0.019221831859017175,0.07929560225012468,0.05268854717869374,slightly_curved,0.9692406151831258,0.01926849162056559,high,1,0,0.0,connected,4,complex,poisson,valve_0042_lidar_classes.ply
