obj_file,rec_file,status,rmse_rec_to_ref,rmse_ref_to_rec,hausdorff,mean_dist,rec_faces,ref_faces,ref_verts
16.02.obj,valve_0017_lidar_classes_reconstructed.ply,ok,27.59846423377677,43.58065334457444,130.88395370250473,27.527526794673904,53831,6448,10122
16.02.obj,valve_0018_lidar_classes_reconstructed.ply,ok,21.704890407826483,37.07782051331484,97.41675450484409,23.14344912749818,30582,6448,10122
16.02.obj,valve_0019_lidar_classes_reconstructed.ply,ok,25.996910219380663,43.83892246834912,125.49396268966358,27.22757705049093,53469,6448,10122
16.02.obj,valve_0020_lidar_classes_reconstructed.ply,ok,21.962799821463232,38.4736521107965,112.60140761406382,23.136371575644553,43858,6448,10122
16.03.obj,valve_0001_lidar_classes_reconstructed.ply,ok,30.18471926892198,50.372676878319986,115.50389404087781,31.931008071000125,32077,2744,4784
16.03.obj,valve_0002_lidar_classes_reconstructed.ply,ok,28.876651605976974,48.805875299182944,129.82687939670802,29.22678290309055,35210,2744,4784
16.03.obj,valve_0003_lidar_classes_reconstructed.ply,ok,30.862780066019237,53.171252775804085,126.75565763930892,33.66625831866905,51700,2744,4784
16.03.obj,valve_0004_lidar_classes_reconstructed.ply,ok,32.02250615819472,52.14436274547175,121.00249806956259,33.80054157197972,52080,2744,4784
16.03.obj,valve_0005_lidar_classes_reconstructed.ply,ok,29.811135353304625,51.45863229587182,118.67039374454673,32.154621488205066,51819,2744,4784
16.03.obj,valve_0006_lidar_classes_reconstructed.ply,ok,29.118843110426624,49.10960231501421,126.95168680154939,29.59958246264823,35374,2744,4784
16.03.obj,valve_0007_lidar_classes_reconstructed.ply,ok,24.547539861491714,48.04034379073327,117.97454650222552,28.649114023936328,33440,2744,4784
16.03.obj,valve_0008_lidar_classes_reconstructed.ply,ok,30.354683216237095,49.11334617744634,128.56834291757704,30.333820166018214,37892,2744,4784
16.03.obj,valve_0009_lidar_classes_reconstructed.ply,ok,29.317467775060873,52.17108560056439,124.9440585279126,32.632624290459724,51918,2744,4784
16.03.obj,valve_0010_lidar_classes_reconstructed.ply,ok,27.710780370971463,47.20921756619307,120.98050050507061,29.088678118214638,40525,2744,4784
16.03.obj,valve_0011_lidar_classes_reconstructed.ply,ok,28.771480272493786,49.59320718829338,119.02047350376328,30.718789927206625,36496,2744,4784
16.03.obj,valve_0012_lidar_classes_reconstructed.ply,ok,33.865440029050305,50.82659196339375,115.69826700762702,32.61200054170013,35324,2744,4784
16.03.obj,valve_0013_lidar_classes_reconstructed.ply,ok,30.677615122922084,49.753386964505566,114.37853025226663,31.629679711956946,39271,2744,4784
16.03.obj,valve_0014_lidar_classes_reconstructed.ply,ok,31.651819665099275,52.65427084509735,124.06494891371183,33.13056076407587,43266,2744,4784
16.03.obj,valve_0015_lidar_classes_reconstructed.ply,ok,30.60392597257205,51.41905550385565,124.84289057181624,32.93684265846959,51403,2744,4784
16.03.obj,valve_0016_lidar_classes_reconstructed.ply,ok,28.341404077796618,48.59014792645698,120.08296716955961,30.01223944860541,45164,2744,4784
16.03.obj,valve_0017_lidar_classes_reconstructed.ply,ok,32.1154839099433,54.65816116971706,137.02682809007163,35.087483012661345,53831,2744,4784
16.03.obj,valve_0018_lidar_classes_reconstructed.ply,ok,29.393548757183574,49.7275033820861,115.22150961228202,31.10190986527156,30582,2744,4784
16.03.obj,valve_0019_lidar_classes_reconstructed.ply,ok,30.549733872776972,54.42788477460932,129.99099034942483,34.33756878274164,53469,2744,4784
16.03.obj,valve_0020_lidar_classes_reconstructed.ply,ok,28.41786166821017,50.02033442797028,128.93333475752334,30.651423138815932,43858,2744,4784
16.04.obj,valve_0001_lidar_classes_reconstructed.ply,ok,49.194460759004365,35.19272053544228,122.710730188657,34.137565334341865,32077,3980,5243
16.04.obj,valve_0002_lidar_classes_reconstructed.ply,ok,69.39517946633873,40.96817680676023,206.4361086832318,44.39978084892708,35210,3980,5243
16.04.obj,valve_0003_lidar_classes_reconstructed.ply,ok,70.86718767970137,52.86298193749603,209.96702775977587,48.956502748954236,51700,3980,5243
16.04.obj,valve_0004_lidar_classes_reconstructed.ply,ok,75.18571585413683,46.895627033231705,212.49977988077217,47.74038057105872,52080,3980,5243
16.04.obj,valve_0005_lidar_classes_reconstructed.ply,ok,54.768542461754414,44.93043488464131,123.243910558941,40.40814749414368,51819,3980,5243
16.04.obj,valve_0006_lidar_classes_reconstructed.ply,ok,71.54626255810443,41.18167680588951,215.18664523205518,45.56560775060613,35374,3980,5243
16.04.obj,valve_0007_lidar_classes_reconstructed.ply,ok,52.26403268885328,39.357969797685456,114.98033324529682,37.79351248865679,33440,3980,5243
16.04.obj,valve_0008_lidar_classes_reconstructed.ply,ok,69.32382051400693,41.757289117866456,224.40605650036562,43.8340037726765,37892,3980,5243
16.04.obj,valve_0009_lidar_classes_reconstructed.ply,ok,62.86744600740761,50.08468076913953,206.74356302037606,44.807202450249974,51918,3980,5243
16.04.obj,valve_0010_lidar_classes_reconstructed.ply,ok,53.110442529748234,46.133643516675775,131.19828012773047,39.77910297307487,40525,3980,5243
16.04.obj,valve_0011_lidar_classes_reconstructed.ply,ok,55.13348460608469,45.631288586500915,142.21529225935583,40.68254079700885,36496,3980,5243
16.04.obj,valve_0012_lidar_classes_reconstructed.ply,ok,81.98161499890875,42.80356645518873,186.18325731283423,48.97756622327716,35324,3980,5243
16.04.obj,valve_0013_lidar_classes_reconstructed.ply,ok,51.596581155400216,41.871224434790115,124.21593780469095,37.71510798022079,39271,3980,5243
16.04.obj,valve_0014_lidar_classes_reconstructed.ply,ok,55.305220429731584,47.0115452235873,126.31247911474354,41.15839527581732,43266,3980,5243
16.04.obj,valve_0015_lidar_classes_reconstructed.ply,ok,60.12128743750008,50.1290921134132,142.0663103376142,44.14988355355442,51403,3980,5243
