obj_file,rec_file,status,rmse_rec_to_ref,rmse_ref_to_rec,hausdorff,mean_dist,rec_faces,ref_faces
16.02.obj,valve_0085_lidar_classes_reconstructed.ply,ok,0.10616210183117072,0.2539385026465767,0.6952619017738798,0.1525923721025387,47753,6448
16.02.obj,valve_0372_lidar_classes_reconstructed.ply,ok,0.10764070033675112,0.2744629741948239,0.712551156315962,0.16243452065139788,42508,6448
16.02.obj,valve_0389_lidar_classes_reconstructed.ply,ok,0.108996029478002,0.2515365045677068,0.6858913935996017,0.15375063208603812,41731,6448
16.02.obj,valve_0496_lidar_classes_reconstructed.ply,ok,0.0965407277500329,0.2519190320920244,0.6517239111324195,0.14806836367395984,34573,6448
16.02.obj,valve_0031_lidar_classes_reconstructed.ply,ok,0.11814934852355224,0.2587143410485954,0.6699797476954885,0.16054842859450358,51930,6448
16.02.obj,valve_0317_lidar_classes_reconstructed.ply,ok,0.09858225164488427,0.2593517177260064,0.6311210915765989,0.15344589487492766,38093,6448
16.02.obj,valve_0409_lidar_classes_reconstructed.ply,ok,0.11097546508342884,0.26539271257291625,0.6267213448757927,0.16225030015251934,40753,6448
16.02.obj,valve_0491_lidar_classes_reconstructed.ply,ok,0.11636240225485299,0.2734078714019713,0.6896539823562466,0.1661404494718568,41868,6448
16.02.obj,valve_0492_lidar_classes_reconstructed.ply,ok,0.11508345750584098,0.2629930925027934,0.6911870614645429,0.1574752315164699,54069,6448
16.02.obj,valve_0281_lidar_classes_reconstructed.ply,ok,0.10828324811398299,0.2660850776922349,0.6821661027875453,0.1615454903021825,35527,6448
16.02.obj,valve_0357_lidar_classes_reconstructed.ply,ok,0.11035832272392689,0.2629312337379671,0.6856244796210021,0.1587611782504615,50788,6448
16.02.obj,valve_0077_lidar_classes_reconstructed.ply,ok,0.11894591304139392,0.26619909270657377,0.6865086366222762,0.16414456968913532,38922,6448
16.02.obj,valve_0462_lidar_classes_reconstructed.ply,ok,0.0993893915591803,0.2752962283228612,0.6738163042959671,0.1641360431521531,34420,6448
16.02.obj,valve_0498_lidar_classes_reconstructed.ply,ok,0.10742860862962432,0.26825917552238354,0.6457088375912005,0.16197369449766022,39462,6448
16.02.obj,valve_0212_lidar_classes_reconstructed.ply,ok,0.11703233448252345,0.25968714302613544,0.6796223075569082,0.15961641594404827,44245,6448
16.02.obj,valve_0102_lidar_classes_reconstructed.ply,ok,0.11168271336618055,0.266940335836986,0.6599585229736592,0.1624286143575554,31994,6448
16.02.obj,valve_0335_lidar_classes_reconstructed.ply,ok,0.10383258689956736,0.27493113730082114,0.6866083399053226,0.16571409256112637,35276,6448
16.03.obj,valve_0362_lidar_classes_reconstructed.ply,ok,0.1653965690285417,0.36731469402995537,0.8121068780644797,0.22666564109699866,52616,2744
16.03.obj,valve_0074_lidar_classes_reconstructed.ply,ok,0.15890038952264796,0.3473681722500853,0.7664089452353859,0.2125630381818035,44293,2744
16.03.obj,valve_0375_lidar_classes_reconstructed.ply,ok,0.16039269578816456,0.382214550476965,0.7476343072909886,0.23113768859357864,44637,2744
16.03.obj,valve_0156_lidar_classes_reconstructed.ply,ok,0.16447575887077326,0.35075186329631636,0.7817722099032689,0.2170843414674714,43217,2744
16.03.obj,valve_0105_lidar_classes_reconstructed.ply,ok,0.15691077473690776,0.3565612007651462,0.7905440847211828,0.2161248659024062,52278,2744
16.03.obj,valve_0395_lidar_classes_reconstructed.ply,ok,0.16083092345740185,0.36958930142183904,0.7590334794955809,0.22511959475523674,45058,2744
16.03.obj,valve_0378_lidar_classes_reconstructed.ply,ok,0.15859765477672874,0.3607752917334516,0.7497582565426175,0.2218000719017612,42213,2744
16.03.obj,valve_0125_lidar_classes_reconstructed.ply,ok,0.14725031245597528,0.36390343904053024,0.7653854825745191,0.21246399840953195,31974,2744
16.03.obj,valve_0069_lidar_classes_reconstructed.ply,ok,0.15864519901835342,0.37360996288965215,0.7477162668916387,0.22643504671570686,40462,2744
16.03.obj,valve_0451_lidar_classes_reconstructed.ply,ok,0.16642645798394912,0.3579058323276745,0.7981460739719858,0.22070609326300483,53257,2744
16.03.obj,valve_0010_lidar_classes_reconstructed.ply,ok,0.16376170079035773,0.3714911832153836,0.7575889165213735,0.22848595379124886,40525,2744
16.03.obj,valve_0195_lidar_classes_reconstructed.ply,ok,0.1627121007466448,0.3592600198743979,0.8096893448640892,0.22084077617330505,53931,2744
16.03.obj,valve_0407_lidar_classes_reconstructed.ply,ok,0.14294487228731945,0.3651931830974628,0.7255682982518221,0.21190719006644212,35924,2744
16.03.obj,valve_0085_lidar_classes_reconstructed.ply,ok,0.15242171299358537,0.33955188141259834,0.760791424251327,0.20276458907297631,47753,2744
16.03.obj,valve_0372_lidar_classes_reconstructed.ply,ok,0.1578712396615269,0.36781237640576275,0.8034108921038119,0.22382709049864835,42508,2744
16.03.obj,valve_0389_lidar_classes_reconstructed.ply,ok,0.15154484620299646,0.35306271663782296,0.7844412351841972,0.21094050389669528,41731,2744
16.03.obj,valve_0496_lidar_classes_reconstructed.ply,ok,0.15172125449016421,0.36646520781459097,0.748900239220682,0.21614681351348836,34573,2744
16.03.obj,valve_0031_lidar_classes_reconstructed.ply,ok,0.1637057156815889,0.3808696498633919,0.8023281321627455,0.23263422312916426,51930,2744
16.03.obj,valve_0317_lidar_classes_reconstructed.ply,ok,0.15311925283647157,0.3803201770669101,0.7464052072307584,0.22456909076864118,38093,2744
16.03.obj,valve_0409_lidar_classes_reconstructed.ply,ok,0.15579379903230958,0.3880345344136236,0.7639420068475647,0.2303354028555329,40753,2744
16.03.obj,valve_0491_lidar_classes_reconstructed.ply,ok,0.15933361542581542,0.36665018125505816,0.7847659527359293,0.22217516415173577,41868,2744
16.03.obj,valve_0492_lidar_classes_reconstructed.ply,ok,0.15957713323204073,0.3634103274965134,0.8058650261886772,0.2187668753735119,54069,2744
16.03.obj,valve_0281_lidar_classes_reconstructed.ply,ok,0.155423270721849,0.38119917835987116,0.742103190901085,0.22678861404080647,35527,2744
16.03.obj,valve_0357_lidar_classes_reconstructed.ply,ok,0.16506212205234222,0.3769151264022669,0.7977732329545433,0.22937872208181861,50788,2744
16.03.obj,valve_0077_lidar_classes_reconstructed.ply,ok,0.16306296366430464,0.35636439565343575,0.7647704569086288,0.21824550684958294,38922,2744
16.03.obj,valve_0462_lidar_classes_reconstructed.ply,ok,0.1483837856168671,0.38580142380610805,0.7415217864237472,0.22943614651590116,34420,2744
16.03.obj,valve_0498_lidar_classes_reconstructed.ply,ok,0.15857318733830858,0.3866913849040375,0.7421915382164733,0.23292187318632634,39462,2744
16.03.obj,valve_0212_lidar_classes_reconstructed.ply,ok,0.16518044229169962,0.35769182811885697,0.7827347313411108,0.22076016816852745,44245,2744
16.03.obj,valve_0102_lidar_classes_reconstructed.ply,ok,0.15999575444959938,0.3687116541196393,0.763856511954966,0.22340861341092927,31994,2744
16.03.obj,valve_0335_lidar_classes_reconstructed.ply,ok,0.1508154805408245,0.38418666528402795,0.7621462837433804,0.22859094487959497,35276,2744
16.04.obj,valve_0362_lidar_classes_reconstructed.ply,ok,0.27219036542047426,0.1984195408651991,0.8035190841774283,0.18840199294726245,52616,3980
16.04.obj,valve_0074_lidar_classes_reconstructed.ply,ok,0.2643225603238713,0.18425014521090288,0.7471363153565116,0.17841869698307777,44293,3980
16.04.obj,valve_0375_lidar_classes_reconstructed.ply,ok,0.26467643322310974,0.19335063642217662,0.7500353384241978,0.18580471084847072,44637,3980
16.04.obj,valve_0156_lidar_classes_reconstructed.ply,ok,0.24890868994028878,0.19708805493947876,0.7205517581745734,0.1765950856793404,43217,3980
16.04.obj,valve_0105_lidar_classes_reconstructed.ply,ok,0.23678564132037663,0.20520288048954521,0.5868646222899035,0.17581680534380995,52278,3980
16.04.obj,valve_0395_lidar_classes_reconstructed.ply,ok,0.2115228790548278,0.19818604905071502,0.5132895629254804,0.1688249508126478,45058,3980
16.04.obj,valve_0378_lidar_classes_reconstructed.ply,ok,0.24634526680037439,0.22114342026223832,0.7385418929598462,0.18710132088577602,42213,3980
16.04.obj,valve_0125_lidar_classes_reconstructed.ply,ok,0.21903032131275335,0.149369889914874,0.5133368327594553,0.15465230039306616,31974,3980
16.04.obj,valve_0069_lidar_classes_reconstructed.ply,ok,0.2830534238043464,0.17815706831545736,0.8003589895463593,0.1826700930119298,40462,3980
16.04.obj,valve_0451_lidar_classes_reconstructed.ply,ok,0.2774748319438609,0.204907891336037,0.8025475010263671,0.19339280968111083,53257,3980
16.04.obj,valve_0010_lidar_classes_reconstructed.ply,ok,0.22038417555898668,0.2063734518107704,0.5204617143417539,0.17418662858727874,40525,3980
16.04.obj,valve_0195_lidar_classes_reconstructed.ply,ok,0.2816648523113704,0.20142342345456163,0.7904538261773962,0.19419938191755198,53931,3980
16.04.obj,valve_0407_lidar_classes_reconstructed.ply,ok,0.3339152356752988,0.16762858096874664,0.7585736786421814,0.19782804120722164,35924,3980
16.04.obj,valve_0085_lidar_classes_reconstructed.ply,ok,0.2784828597534437,0.18156854736844183,0.7508435197759016,0.18437088229036458,47753,3980
16.04.obj,valve_0372_lidar_classes_reconstructed.ply,ok,0.23992041850267462,0.20195456209419269,0.6099856855097118,0.18246362156229368,42508,3980
16.04.obj,valve_0389_lidar_classes_reconstructed.ply,ok,0.28446523589817063,0.1852868701112269,0.8172265522755672,0.18348832541537063,41731,3980
16.04.obj,valve_0496_lidar_classes_reconstructed.ply,ok,0.21586081968447315,0.14592496297834176,0.48839276360750705,0.15018906354117978,34573,3980
16.04.obj,valve_0031_lidar_classes_reconstructed.ply,ok,0.2715536387178419,0.20969105788680717,0.828744733337946,0.19360503401250512,51930,3980
16.04.obj,valve_0317_lidar_classes_reconstructed.ply,ok,0.3104093496458012,0.16670276968287365,0.7261753447263797,0.18685931428849195,38093,3980
16.04.obj,valve_0409_lidar_classes_reconstructed.ply,ok,0.2841643723499581,0.1788947193014135,0.7289466255617919,0.18180944005915706,40753,3980
16.04.obj,valve_0491_lidar_classes_reconstructed.ply,ok,0.2179915962385613,0.190648455086465,0.5746411089682136,0.16392176359019195,41868,3980
16.04.obj,valve_0492_lidar_classes_reconstructed.ply,ok,0.24130757049061047,0.2096399445813751,0.5858485350819118,0.17708324669675624,54069,3980
16.04.obj,valve_0281_lidar_classes_reconstructed.ply,ok,0.20539277280059334,0.1817613268546162,0.5037834461618564,0.15734715521584872,35527,3980
16.04.obj,valve_0357_lidar_classes_reconstructed.ply,ok,0.2743245899140368,0.20116975300340945,0.8458125555448003,0.18770190528738862,50788,3980
16.04.obj,valve_0077_lidar_classes_reconstructed.ply,ok,0.2360961354187346,0.20410324950898753,0.6514213719308964,0.1778447628393594,38922,3980
16.04.obj,valve_0462_lidar_classes_reconstructed.ply,ok,0.2635311455195311,0.18440343319539915,0.7951157142584303,0.18262246688211592,34420,3980
16.04.obj,valve_0498_lidar_classes_reconstructed.ply,ok,0.26983521446646247,0.1749614179939972,0.729612927118496,0.1734884329034372,39462,3980
16.04.obj,valve_0212_lidar_classes_reconstructed.ply,ok,0.23077227584826898,0.19518964788749288,0.6477058363388395,0.17329463376209164,44245,3980
16.04.obj,valve_0102_lidar_classes_reconstructed.ply,ok,0.21267674594274588,0.20475580996965806,0.5495649437765135,0.16805683798247262,31994,3980
16.04.obj,valve_0335_lidar_classes_reconstructed.ply,ok,0.28133258579957626,0.18119710393973634,0.8143798501785082,0.18568013022740282,35276,3980
16.05.obj,valve_0362_lidar_classes_reconstructed.ply,ok,0.17141732631458964,0.34102177046457965,0.7316403476333473,0.2321142493025798,52616,2904
16.05.obj,valve_0074_lidar_classes_reconstructed.ply,ok,0.16579444059447201,0.31126969515232106,0.6748910035543236,0.21197453449487635,44293,2904
16.05.obj,valve_0375_lidar_classes_reconstructed.ply,ok,0.16963466766306798,0.33808371098349727,0.6857047101554047,0.22977083446734115,44637,2904
16.05.obj,valve_0156_lidar_classes_reconstructed.ply,ok,0.16900401951807684,0.3212309844006919,0.6956281474606715,0.22232929283247138,43217,2904
16.05.obj,valve_0105_lidar_classes_reconstructed.ply,ok,0.17178870594323342,0.33530323729361805,0.693394776574285,0.2301226529542163,52278,2904
16.05.obj,valve_0395_lidar_classes_reconstructed.ply,ok,0.17039465505280915,0.3409257845621455,0.7172034788759296,0.2314443285636948,45058,2904
16.05.obj,valve_0378_lidar_classes_reconstructed.ply,ok,0.16882351620167224,0.32936752949806813,0.6728216872661862,0.2253648319624565,42213,2904
16.05.obj,valve_0125_lidar_classes_reconstructed.ply,ok,0.16623521967948368,0.3189067498584733,0.7151938331212235,0.21452771800345843,31974,2904
16.05.obj,valve_0069_lidar_classes_reconstructed.ply,ok,0.1720324998339285,0.33035711461233835,0.6954041321362635,0.22603734353041544,40462,2904
16.05.obj,valve_0451_lidar_classes_reconstructed.ply,ok,0.16770190904532087,0.3385910755964776,0.7441655536869722,0.22918333792853607,53257,2904
16.05.obj,valve_0010_lidar_classes_reconstructed.ply,ok,0.1708042245120567,0.344187889762758,0.7214309466726424,0.23338804898875248,40525,2904
16.05.obj,valve_0195_lidar_classes_reconstructed.ply,ok,0.17071166553542433,0.3348022391711689,0.7187717576751714,0.22936838516007174,53931,2904
16.05.obj,valve_0407_lidar_classes_reconstructed.ply,ok,0.17085596318458512,0.31615023937528336,0.6432096077585939,0.21862547629003543,35924,2904
16.05.obj,valve_0085_lidar_classes_reconstructed.ply,ok,0.1597505719842494,0.31351969124474416,0.6726682496728172,0.20910046204720284,47753,2904
16.05.obj,valve_0372_lidar_classes_reconstructed.ply,ok,0.17194840436381936,0.3304721093471548,0.6613642407251699,0.2280875060803701,42508,2904
16.05.obj,valve_0389_lidar_classes_reconstructed.ply,ok,0.16613845119368628,0.3181202232135886,0.6623611894928035,0.21752049167667784,41731,2904
16.05.obj,valve_0496_lidar_classes_reconstructed.ply,ok,0.16660554851385145,0.3231989005215554,0.6387232243217222,0.21846444134322024,34573,2904
16.05.obj,valve_0031_lidar_classes_reconstructed.ply,ok,0.1690539042981429,0.34910215495472846,0.7785013735355059,0.23591860695197414,51930,2904
16.05.obj,valve_0317_lidar_classes_reconstructed.ply,ok,0.1675412186982999,0.3244118180566165,0.6870050251123622,0.2209712919243096,38093,2904
16.05.obj,valve_0409_lidar_classes_reconstructed.ply,ok,0.17215956591467055,0.3458790117778289,0.7028082939400122,0.23606662108436693,40753,2904
16.05.obj,valve_0491_lidar_classes_reconstructed.ply,ok,0.1664010206250756,0.33894895962258953,0.7523272269434682,0.2285407954250453,41868,2904
16.05.obj,valve_0492_lidar_classes_reconstructed.ply,ok,0.16486834876974002,0.33945365454828674,0.767581640826975,0.2247148031867644,54069,2904
16.05.obj,valve_0281_lidar_classes_reconstructed.ply,ok,0.1735122313203759,0.3411500002081546,0.6966551212584073,0.23354722644168108,35527,2904
16.05.obj,valve_0357_lidar_classes_reconstructed.ply,ok,0.17178937414327347,0.3425332784312285,0.7463630728851671,0.2349279020697374,50788,2904
16.05.obj,valve_0077_lidar_classes_reconstructed.ply,ok,0.16435468206321843,0.3365119883310953,0.7315479955220545,0.22719219012024278,38922,2904
16.05.obj,valve_0462_lidar_classes_reconstructed.ply,ok,0.1848290918747344,0.3473823538436187,0.6801300296789707,0.2421458246870911,34420,2904
16.05.obj,valve_0498_lidar_classes_reconstructed.ply,ok,0.16707262891652083,0.34110429937926123,0.6866919263833327,0.23029759793187002,39462,2904
16.05.obj,valve_0212_lidar_classes_reconstructed.ply,ok,0.16578378096046412,0.33389309742239015,0.7188705451858739,0.2258816193485285,44245,2904
16.05.obj,valve_0102_lidar_classes_reconstructed.ply,ok,0.16808086612493725,0.33861898782874505,0.6989067800617431,0.2279821439104097,31994,2904
16.05.obj,valve_0335_lidar_classes_reconstructed.ply,ok,0.178793047637687,0.3347344484034055,0.6755004543922516,0.23471765593896737,35276,2904
16.06.obj,valve_0362_lidar_classes_reconstructed.ply,ok,0.356369833368591,0.505623389565358,0.7667336530391916,0.3988766438018806,52616,18656
16.06.obj,valve_0074_lidar_classes_reconstructed.ply,ok,0.3512605480447526,0.4885875305497356,0.7562937552157243,0.3848696004996582,44293,18656
16.06.obj,valve_0375_lidar_classes_reconstructed.ply,ok,0.38834250759125566,0.53838502528439,0.7559405660529943,0.43324696734177165,44637,18656
16.06.obj,valve_0156_lidar_classes_reconstructed.ply,ok,0.3479128795477497,0.48576792092306603,0.7720336494113125,0.38264485583172625,43217,18656
16.06.obj,valve_0105_lidar_classes_reconstructed.ply,ok,0.35125646675548017,0.5008403262371972,0.7995343562538657,0.3940020370399589,52278,18656
16.06.obj,valve_0395_lidar_classes_reconstructed.ply,ok,0.36466007722588306,0.5104084544169941,0.7813996743231196,0.40604217762322065,45058,18656
16.06.obj,valve_0378_lidar_classes_reconstructed.ply,ok,0.3756619344019745,0.5000935092653288,0.7327993002123325,0.4095280741157751,42213,18656
16.06.obj,valve_0125_lidar_classes_reconstructed.ply,ok,0.36040624317629755,0.49369159854360134,0.7394527367195444,0.39656755717067144,31974,18656
16.06.obj,valve_0069_lidar_classes_reconstructed.ply,ok,0.37351856162247515,0.5199296984836627,0.7553081545082829,0.4138795316120245,40462,18656
16.06.obj,valve_0451_lidar_classes_reconstructed.ply,ok,0.3702308229747554,0.5109968986223121,0.7792854995551695,0.4086254993754559,53257,18656
16.06.obj,valve_0010_lidar_classes_reconstructed.ply,ok,0.36222360708595225,0.5033410579896538,0.7712499395330276,0.40152039108946325,40525,18656
16.06.obj,valve_0195_lidar_classes_reconstructed.ply,ok,0.3522296807324373,0.4937182135886896,0.7364449379360493,0.3930367012780443,53931,18656
16.06.obj,valve_0407_lidar_classes_reconstructed.ply,ok,0.3454590258355082,0.5047856134300027,0.7288231670764151,0.3945545572332224,35924,18656
16.06.obj,valve_0085_lidar_classes_reconstructed.ply,ok,0.3449967130118364,0.4896469208972423,0.7537951012033597,0.38224589828140354,47753,18656
16.06.obj,valve_0372_lidar_classes_reconstructed.ply,ok,0.3531893990859587,0.5109743518178822,0.7663186237039415,0.4009089818272596,42508,18656
16.06.obj,valve_0389_lidar_classes_reconstructed.ply,ok,0.34532407752543154,0.48239223265752684,0.7672065644625241,0.37787269446575733,41731,18656
16.06.obj,valve_0496_lidar_classes_reconstructed.ply,ok,0.35661012904901335,0.5077171685406169,0.7572634948291668,0.40062682112128634,34573,18656
16.06.obj,valve_0031_lidar_classes_reconstructed.ply,ok,0.3741011832948183,0.5201597458900008,0.7921933782969801,0.4156584281103678,51930,18656
16.06.obj,valve_0317_lidar_classes_reconstructed.ply,ok,0.35756741552999993,0.5126757351658564,0.752687903119484,0.4044766655985223,38093,18656
16.06.obj,valve_0409_lidar_classes_reconstructed.ply,ok,0.3715869503266696,0.5256747977740424,0.7556549505189505,0.4181714263962568,40753,18656
16.06.obj,valve_0491_lidar_classes_reconstructed.ply,ok,0.37130010949286163,0.5156591022198287,0.7973796435319211,0.41010895170741435,41868,18656
16.06.obj,valve_0492_lidar_classes_reconstructed.ply,ok,0.328919230967121,0.4845306095880206,0.8276192543449408,0.3718438432297828,54069,18656
16.06.obj,valve_0281_lidar_classes_reconstructed.ply,ok,0.37285531799312605,0.522431144090711,0.7650794320671689,0.4142928888275865,35527,18656
16.06.obj,valve_0357_lidar_classes_reconstructed.ply,ok,0.37332520624244864,0.5276130288266146,0.8006581270255345,0.41807691374128625,50788,18656
16.06.obj,valve_0077_lidar_classes_reconstructed.ply,ok,0.3667087804443425,0.5065967868927902,0.7889076773684325,0.4026998489689936,38922,18656
16.06.obj,valve_0462_lidar_classes_reconstructed.ply,ok,0.3747359866589947,0.5365231265184569,0.7389817084324327,0.42382603405851343,34420,18656
16.06.obj,valve_0498_lidar_classes_reconstructed.ply,ok,0.3723092529948995,0.5229993318812863,0.7555416338499444,0.4188289117231945,39462,18656
16.06.obj,valve_0212_lidar_classes_reconstructed.ply,ok,0.36638729472783227,0.50912302346642,0.7896184294012637,0.40399448519605585,44245,18656
16.06.obj,valve_0102_lidar_classes_reconstructed.ply,ok,0.3694925756541236,0.5095650634137338,0.782966193627617,0.4088994072385999,31994,18656
16.06.obj,valve_0335_lidar_classes_reconstructed.ply,ok,0.37152188457362,0.5272461081168868,0.7475064677710778,0.4167711239497628,35276,18656
16.07.obj,valve_0362_lidar_classes_reconstructed.ply,ok,0.3752749590355198,0.4705458708358359,0.7932107377329822,0.3831340072127795,52616,2522
16.07.obj,valve_0074_lidar_classes_reconstructed.ply,ok,0.3735449058942514,0.44858461768693986,0.7493538083495999,0.3724472701084709,44293,2522
16.07.obj,valve_0375_lidar_classes_reconstructed.ply,ok,0.3961628453029284,0.5019550940633515,0.7465362568524296,0.4109876979622956,44637,2522
16.07.obj,valve_0156_lidar_classes_reconstructed.ply,ok,0.3595913257513617,0.4567675341729099,0.7513186859240297,0.3677329428527837,43217,2522
16.07.obj,valve_0105_lidar_classes_reconstructed.ply,ok,0.34481077507984315,0.4500828676681773,0.7452114183234214,0.35955284799712683,52278,2522
16.07.obj,valve_0395_lidar_classes_reconstructed.ply,ok,0.3727907950262305,0.4873850022902501,0.7309354557052281,0.39109364961874515,45058,2522
